N         Nb        Tb        amp       T/N/F

160       160       0.8       1.0		F
160       160       0.8       0.9		T
160       160       0.8       0.8		T
160       160       0.8       0.7		T
160       160       0.8       0.6		T
160       160       0.8       0.5		T
160       160       0.8       0.4		T
160       160       0.8       0.3		T
160       160       0.8       0.2		T
160       160       0.8       0.1		N
160       160       0.8       0.0		N

160       160       0.79      1.0		T
160       160       0.79      0.9		T
160       160       0.79      0.8		T
160       160       0.79      0.7		T
160       160       0.79      0.6		T
160       160       0.79      0.5		T
160       160       0.79      0.4		T
160       160       0.79      0.3		T
160       160       0.79      0.2		T
160       160       0.79      0.1		N
160       160       0.79      0.0		N

160       160       0.78      1.0		T
160       160       0.78      0.9		T
160       160       0.78      0.8		T
160       160       0.78      0.7		T
160       160       0.78      0.6		T
160       160       0.78      0.5		T
160       160       0.78      0.4		T
160       160       0.78      0.3		T
160       160       0.78      0.2		T
160       160       0.78      0.1		N
160       160       0.78      0.0		N

160       160       0.77      1.0		T
160       160       0.77      0.9		T
160       160       0.77      0.8		T
160       160       0.77      0.7		T
160       160       0.77      0.6		T
160       160       0.77      0.5		T
160       160       0.77      0.4		T
160       160       0.77      0.3		T
160       160       0.77      0.2		F
160       160       0.77      0.1		N
160       160       0.77      0.0		N

160       160       0.76      1.0		T
160       160       0.76      0.9		T
160       160       0.76      0.8		T
160       160       0.76      0.7		T
160       160       0.76      0.6		T
160       160       0.76      0.5		T
160       160       0.76      0.4		T
160       160       0.76      0.3		T
160       160       0.76      0.2		N
160       160       0.76      0.1		N
160       160       0.76      0.0		N

160       160       0.75      1.0		T
160       160       0.75      0.9		T
160       160       0.75      0.8		T
160       160       0.75      0.7		T
160       160       0.75      0.6		T
160       160       0.75      0.5		T
160       160       0.75      0.4		T
160       160       0.75      0.3		T
160       160       0.75      0.2		N
160       160       0.75      0.1		N
160       160       0.75      0.0		N

160       160       0.74        1.0      T
160       160       0.74        .9       T
160       160       0.74        .8       T
160       160       0.74        .7       T
160       160       0.74        .6       T
160       160       0.74        .5       T
160       160       0.74        .4       T
160       160       0.74        .3       T
160       160       0.74        .2       N
160       160       0.74        .1       N
160       160       0.74         0       N

160       160       0.73        1.0      T
160       160       0.73        .9       T
160       160       0.73        .8       T
160       160       0.73        .7       T
160       160       0.73        .6       T
160       160       0.73        .5       T
160       160       0.73        .4       T
160       160       0.73        .3       T
160       160       0.73        .2       N
160       160       0.73        .1       N
160       160       0.73         0       N

160       160       0.72        1.0      T
160       160       0.72        .9       T
160       160       0.72        .8       T
160       160       0.72        .7       T
160       160       0.72        .6       T
160       160       0.72        .5       T
160       160       0.72        .4       T
160       160       0.72        .2       N
160       160       0.72        .1       N
160       160       0.72         0       N

160       160       0.71        1.0      T
160       160       0.71        .9       T
160       160       0.71        .8       T
160       160       0.71        .7       T
160       160       0.71        .6       T
160       160       0.71        .5       T
160       160       0.71        .4       T
160       160       0.71        .2       N
160       160       0.71        .1       N
160       160       0.71         0       N

160       160       0.70        1.0      T
160       160       0.70        .9       T
160       160       0.70        .8       T
160       160       0.70        .7       T
160       160       0.70        .6       T
160       160       0.70        .5       T
160       160       0.70        .4       T
160       160       0.70        .2       N
160       160       0.70        .1       N
160       160       0.70         0       N
