summary from pi3.sh
N          Nb         Tb         AMP        T/N/F      
160        160        .80        .07        N          
160        160        .80        .06        N          
160        160        .80        .05        N          
160        160        .80        .04        N          
160        160        .80        .03        T          

160        160        .79        .07        N          
160        160        .79        .06        N          
160        160        .79        .05        N          
160        160        .79        .04        N          
160        160        .79        .03        N          

160        160        .78        .07        N          
160        160        .78        .06        N          
160        160        .78        .05        N          
160        160        .78        .04        N          
160        160        .78        .03        N          

160        160        .77        .07        N          
160        160        .77        .06        N          
160        160        .77        .05        N          
160        160        .77        .04        N          
160        160        .77        .03        N          

160        160        .76        .07        N          
160        160        .76        .06        N          
160        160        .76        .05        N          
160        160        .76        .04        N          
160        160        .76        .03        N          

