output from mainChangeNL.sh

N         Na        Nb        Nc        L         Ta        S/F       
120       360       80        2         4.374     3.645     S         
120       405       90        2         4.368     3.640     S         
120       450       100       2         4.363     3.636     S         
120       495       110       2         4.359     3.633     FM        
120       540       120       2         4.356     3.630     FM        
120       360       80        2         6.009     3.645     FM        
120       405       90        2         6.004     3.640     FM        
120       450       100       2         5.999     3.636     FM        
130       360       80        2         6.009     3.645     S         
140       360       80        2         6.009     3.645     S         
150       360       80        2         6.009     3.645     S         
