output from mainChangeNL.sh

N         Na        Nb        Nc        L         Ta        S/F             
130       360       80        2         7.009     3.645     FM             
130       360       80        2         7.009     3.645     FM            
130       360       80        2         7.009     3.645     FM        
140       405       90        2         7.004     3.640     FM        
150       450       100       2         6.999     3.636     FM             
130       360       80        2         7.374     3.645     FM        
140       405       90        2         7.368     3.640     FM              
150       360       80        2         7.738     3.645     FM         
130       360       80        2         6.009     3.645     S         
140       360       80        2         6.471     3.645     S         
150       360       80        2         6.933     3.645     S         
160       360       80        2         7.395     3.645     FM        
150       360       80        2         7.0       3.645     S         
160       360       80        2         7.0       3.645     S         
160       360       80        2         7.5       3.645     FM        
170       360       80        2         7.5       3.645     S         
160       360       80        2         7.5       3.600     S         
160       360       80        2         7.5       3.691     FT        
170       360       80        2         7.5       3.691     FM        
160       360       80        2         7.5       3.554     S         
160       360       80        2         7.5       3.645     S         
170       360       80        2         7.5       3.645     S         
